Ciudad,CÃ³digo DANE ciudad,Departamento,Ciudad - Departamento,Repeticiones Ciudad
MALAMBO,08433,ATLANTICO,MALAMBO - ATLANTICO,0
MALLAMA,52435,NARIÑO,MALLAMA - NARIÑO,0
MANATI,08436,ATLANTICO,MANATI - ATLANTICO,0
MANAURE,20443,CESAR,MANAURE - CESAR,1
MANAURE,44560,LA GUAJIRA,MANAURE - LA GUAJIRA,2
MANI,85139,CASANARE,MANI - CASANARE,0
MANIZALES,17001,CALDAS,MANIZALES - CALDAS,0
MANTA,25436,CUNDINAMARCA,MANTA - CUNDINAMARCA,0
MANZANARES,17433,CALDAS,MANZANARES - CALDAS,0
MAPIRIPAN,50325,META,MAPIRIPAN - META,0
MAPIRIPANA,94663,GUAINIA,MAPIRIPANA - GUAINIA,0
MARGARITA,13440,BOLIVAR,MARGARITA - BOLIVAR,0
MARIA LA BAJA,13442,BOLIVAR,MARIA LA BAJA - BOLIVAR,0
MARINILLA,05440,ANTIOQUIA,MARINILLA - ANTIOQUIA,0
MARIPI,15442,BOYACA,MARIPI - BOYACA,0
MARIQUITA,73443,TOLIMA,MARIQUITA - TOLIMA,0
MARMATO,17442,CALDAS,MARMATO - CALDAS,0
MARQUETALIA,17444,CALDAS,MARQUETALIA - CALDAS,0
MARSELLA,66440,RISARALDA,MARSELLA - RISARALDA,0
MARULANDA,17446,CALDAS,MARULANDA - CALDAS,0
MATANZA,68444,SANTANDER,MATANZA - SANTANDER,0
MEDELLIN,05001,ANTIOQUIA,MEDELLIN - ANTIOQUIA,0
MEDINA,25438,CUNDINAMARCA,MEDINA - CUNDINAMARCA,0
MEDIO ATRATO,27425,CHOCO,MEDIO ATRATO - CHOCO,0
MEDIO BAUDO,27430,CHOCO,MEDIO BAUDO - CHOCO,0
MEDIO SAN JUAN,27450,CHOCO,MEDIO SAN JUAN - CHOCO,0
MELGAR,73449,TOLIMA,MELGAR - TOLIMA,0
MERCADERES,19450,CAUCA,MERCADERES - CAUCA,0
MESETAS,50330,META,MESETAS - META,0
MILAN,18460,CAQUETA,MILAN - CAQUETA,0
MIRAFLORES,15455,BOYACA,MIRAFLORES - BOYACA,1
MIRAFLORES,95200,GUAVIARE,MIRAFLORES - GUAVIARE,2
MIRANDA,19455,CAUCA,MIRANDA - CAUCA,0
MIRITI - PARANA,91460,AMAZONAS,MIRITI - PARANA - AMAZONAS,0
MISTRATO,66456,RISARALDA,MISTRATO - RISARALDA,0
MITU,97001,VAUPES,MITU - VAUPES,0
MOCOA,86001,PUTUMAYO,MOCOA - PUTUMAYO,0
MOGOTES,68464,SANTANDER,MOGOTES - SANTANDER,0
MOLAGAVITA,68468,SANTANDER,MOLAGAVITA - SANTANDER,0
MOMIL,23464,CORDOBA,MOMIL - CORDOBA,0
MOMPOS,13468,BOLIVAR,MOMPOS - BOLIVAR,0
MONGUA,15464,BOYACA,MONGUA - BOYACA,0
MONGUI,15466,BOYACA,MONGUI - BOYACA,0
MONIQUIRA,15469,BOYACA,MONIQUIRA - BOYACA,0
MONTEBELLO,05467,ANTIOQUIA,MONTEBELLO - ANTIOQUIA,0
MONTECRISTO,13458,BOLIVAR,MONTECRISTO - BOLIVAR,0
MONTELIBANO,23466,CORDOBA,MONTELIBANO - CORDOBA,0
MONTENEGRO,63470,QUINDIO,MONTENEGRO - QUINDIO,0
MONTERIA,23001,CORDOBA,MONTERIA - CORDOBA,0
MONTERREY,85162,CASANARE,MONTERREY - CASANARE,0
MOÑITOS,23500,CORDOBA,MOÑITOS - CORDOBA,0
MORALES,13473,BOLIVAR,MORALES - BOLIVAR,1
MORALES,19473,CAUCA,MORALES - CAUCA,2
MORELIA,18479,CAQUETA,MORELIA - CAQUETA,0
MORICHAL,94888,GUAINIA,MORICHAL - GUAINIA,0
MORROA,70473,SUCRE,MORROA - SUCRE,0
MOSQUERA,25473,CUNDINAMARCA,MOSQUERA - CUNDINAMARCA,1
MOSQUERA,52473,NARIÑO,MOSQUERA - NARIÑO,2
MOTAVITA,15476,BOYACA,MOTAVITA - BOYACA,0
MURILLO,73461,TOLIMA,MURILLO - TOLIMA,0
MURINDO,05475,ANTIOQUIA,MURINDO - ANTIOQUIA,0
MUTATA,05480,ANTIOQUIA,MUTATA - ANTIOQUIA,0
MUTISCUA,54480,NORTE DE SANTANDER,MUTISCUA - NORTE DE SANTANDER,0
MUZO,15480,BOYACA,MUZO - BOYACA,0
NARIÑO,05483,ANTIOQUIA,NARIÑO - ANTIOQUIA,1
NARIÑO,25483,CUNDINAMARCA,NARIÑO - CUNDINAMARCA,2
NARIÑO,52480,NARIÑO,NARIÑO - NARIÑO,3
NATAGA,41483,HUILA,NATAGA - HUILA,0
NATAGAIMA,73483,TOLIMA,NATAGAIMA - TOLIMA,0
NECHI,05495,ANTIOQUIA,NECHI - ANTIOQUIA,0
NECOCLI,05490,ANTIOQUIA,NECOCLI - ANTIOQUIA,0
NEIRA,17486,CALDAS,NEIRA - CALDAS,0
NEIVA,41001,HUILA,NEIVA - HUILA,0
NEMOCON,25486,CUNDINAMARCA,NEMOCON - CUNDINAMARCA,0
NILO,25488,CUNDINAMARCA,NILO - CUNDINAMARCA,0
NIMAIMA,25489,CUNDINAMARCA,NIMAIMA - CUNDINAMARCA,0
NOBSA,15491,BOYACA,NOBSA - BOYACA,0
NOCAIMA,25491,CUNDINAMARCA,NOCAIMA - CUNDINAMARCA,0
NORCASIA,17495,CALDAS,NORCASIA - CALDAS,0
NOVITA,27491,CHOCO,NOVITA - CHOCO,0
NUEVA GRANADA,47460,MAGDALENA,NUEVA GRANADA - MAGDALENA,0
NUEVO COLON,15494,BOYACA,NUEVO COLON - BOYACA,0
NUNCHIA,85225,CASANARE,NUNCHIA - CASANARE,0
NUQUI,27495,CHOCO,NUQUI - CHOCO,0
OBANDO,76497,VALLE DEL CAUCA,OBANDO - VALLE DEL CAUCA,0
OCAMONTE,68498,SANTANDER,OCAMONTE - SANTANDER,0
OCAÑA,54498,NORTE DE SANTANDER,OCAÑA - NORTE DE SANTANDER,0
OIBA,68500,SANTANDER,OIBA - SANTANDER,0
OICATA,15500,BOYACA,OICATA - BOYACA,0
OLAYA,05501,ANTIOQUIA,OLAYA - ANTIOQUIA,0
OLAYA HERRERA,52490,NARIÑO,OLAYA HERRERA - NARIÑO,0
ONZAGA,68502,SANTANDER,ONZAGA - SANTANDER,0
OPORAPA,41503,HUILA,OPORAPA - HUILA,0
ORITO,86320,PUTUMAYO,ORITO - PUTUMAYO,0
OROCUE,85230,CASANARE,OROCUE - CASANARE,0
ORTEGA,73504,TOLIMA,ORTEGA - TOLIMA,0
OSPINA,52506,NARIÑO,OSPINA - NARIÑO,0
OTANCHE,15507,BOYACA,OTANCHE - BOYACA,0
OVEJAS,70508,SUCRE,OVEJAS - SUCRE,0
PACHAVITA,15511,BOYACA,PACHAVITA - BOYACA,0
PACHO,25513,CUNDINAMARCA,PACHO - CUNDINAMARCA,0
PACOA,97511,VAUPES,PACOA - VAUPES,0
PACORA,17513,CALDAS,PACORA - CALDAS,0
PADILLA,19513,CAUCA,PADILLA - CAUCA,0
PAEZ,19517,CAUCA,PAEZ - CAUCA,0
PAEZ,15514,BOYACA,PAEZ - BOYACA,0
PAICOL,41518,HUILA,PAICOL - HUILA,0
PAILITAS,20517,CESAR,PAILITAS - CESAR,0
PAIME,25518,CUNDINAMARCA,PAIME - CUNDINAMARCA,0
PAIPA,15516,BOYACA,PAIPA - BOYACA,0
PAJARITO,15518,BOYACA,PAJARITO - BOYACA,0
PALERMO,41524,HUILA,PALERMO - HUILA,0
PALESTINA,17524,CALDAS,PALESTINA - CALDAS,1
PALESTINA,41530,HUILA,PALESTINA - HUILA,2
PALMAR,68522,SANTANDER,PALMAR - SANTANDER,0
PALMAR DE VARELA,08520,ATLANTICO,PALMAR DE VARELA - ATLANTICO,0
PALMAS DEL SOCORRO,68524,SANTANDER,PALMAS DEL SOCORRO - SANTANDER,0
PALMIRA,76520,VALLE DEL CAUCA,PALMIRA - VALLE DEL CAUCA,0
PALMITO,70523,SUCRE,PALMITO - SUCRE,0
PALOCABILDO,73520,TOLIMA,PALOCABILDO - TOLIMA,0
PAMPLONA,54518,NORTE DE SANTANDER,PAMPLONA - NORTE DE SANTANDER,0
PAMPLONITA,54520,NORTE DE SANTANDER,PAMPLONITA - NORTE DE SANTANDER,0
PANA PANA,94887,GUAINIA,PANA PANA - GUAINIA,0
PANDI,25524,CUNDINAMARCA,PANDI - CUNDINAMARCA,0
PANQUEBA,15522,BOYACA,PANQUEBA - BOYACA,0
PAPUNAUA,97777,VAUPES,PAPUNAUA - VAUPES,0
PARAMO,68533,SANTANDER,PARAMO - SANTANDER,0
PARATEBUENO,25530,CUNDINAMARCA,PARATEBUENO - CUNDINAMARCA,0
PASCA,25535,CUNDINAMARCA,PASCA - CUNDINAMARCA,0
PASTO,52001,NARIÑO,PASTO - NARIÑO,0
PATIA,19532,CAUCA,PATIA - CAUCA,0
PAUNA,15531,BOYACA,PAUNA - BOYACA,0
PAYA,15533,BOYACA,PAYA - BOYACA,0
PAZ DE ARIPORO,85250,CASANARE,PAZ DE ARIPORO - CASANARE,0
PAZ DE RIO,15537,BOYACA,PAZ DE RIO - BOYACA,0
PEDRAZA,47541,MAGDALENA,PEDRAZA - MAGDALENA,0
PELAYA,20550,CESAR,PELAYA - CESAR,0
PENSILVANIA,17541,CALDAS,PENSILVANIA - CALDAS,0
PEÑOL,05541,ANTIOQUIA,PEÑOL - ANTIOQUIA,0
PEQUE,05543,ANTIOQUIA,PEQUE - ANTIOQUIA,0
PEREIRA,66001,RISARALDA,PEREIRA - RISARALDA,0
PESCA,15542,BOYACA,PESCA - BOYACA,0
PIAMONTE,19533,CAUCA,PIAMONTE - CAUCA,0
PIEDECUESTA,68547,SANTANDER,PIEDECUESTA - SANTANDER,0
PIEDRAS,73547,TOLIMA,PIEDRAS - TOLIMA,0
PIENDAMO,19548,CAUCA,PIENDAMO - CAUCA,0
PIJAO,63548,QUINDIO,PIJAO - QUINDIO,0
PIJIÑO DEL CARMEN,47545,MAGDALENA,PIJIÑO DEL CARMEN - MAGDALENA,0
PINCHOTE,68549,SANTANDER,PINCHOTE - SANTANDER,0
PINILLOS,13549,BOLIVAR,PINILLOS - BOLIVAR,0
PIOJO,08549,ATLANTICO,PIOJO - ATLANTICO,0
PISBA,15550,BOYACA,PISBA - BOYACA,0
PITAL,41548,HUILA,PITAL - HUILA,0
PITALITO,41551,HUILA,PITALITO - HUILA,0
PIVIJAY,47551,MAGDALENA,PIVIJAY - MAGDALENA,0
PLANADAS,73555,TOLIMA,PLANADAS - TOLIMA,0
PLANETA RICA,23555,CORDOBA,PLANETA RICA - CORDOBA,0
PLATO,47555,MAGDALENA,PLATO - MAGDALENA,0
POLICARPA,52540,NARIÑO,POLICARPA - NARIÑO,0
POLONUEVO,08558,ATLANTICO,POLONUEVO - ATLANTICO,0
PONEDERA,08560,ATLANTICO,PONEDERA - ATLANTICO,0
POPAYAN,19001,CAUCA,POPAYAN - CAUCA,0
PORE,85263,CASANARE,PORE - CASANARE,0
POTOSI,52560,NARIÑO,POTOSI - NARIÑO,0
PRADERA,76563,VALLE DEL CAUCA,PRADERA - VALLE DEL CAUCA,0
PRADO,73563,TOLIMA,PRADO - TOLIMA,0
PROVIDENCIA,88564,ARCHIPIELAGO DE SAN ANDRES,PROVIDENCIA - ARCHIPIELAGO DE SAN ANDRES,1
PROVIDENCIA,52565,NARIÑO,PROVIDENCIA - NARIÑO,2
PUEBLO BELLO,20570,CESAR,PUEBLO BELLO - CESAR,0
PUEBLO NUEVO,23570,CORDOBA,PUEBLO NUEVO - CORDOBA,0
PUEBLO RICO,66572,RISARALDA,PUEBLO RICO - RISARALDA,0
PUEBLORRICO,05576,ANTIOQUIA,PUEBLORRICO - ANTIOQUIA,0
PUEBLOVIEJO,47570,MAGDALENA,PUEBLOVIEJO - MAGDALENA,0
PUENTE NACIONAL,68572,SANTANDER,PUENTE NACIONAL - SANTANDER,0
PUERRES,52573,NARIÑO,PUERRES - NARIÑO,0
PUERTO ALEGRIA,91530,AMAZONAS,PUERTO ALEGRIA - AMAZONAS,0
PUERTO ARICA,91536,AMAZONAS,PUERTO ARICA - AMAZONAS,0
PUERTO ASIS,86568,PUTUMAYO,PUERTO ASIS - PUTUMAYO,0
PUERTO BERRIO,05579,ANTIOQUIA,PUERTO BERRIO - ANTIOQUIA,0
PUERTO BOYACA,15572,BOYACA,PUERTO BOYACA - BOYACA,0
PUERTO CAICEDO,86569,PUTUMAYO,PUERTO CAICEDO - PUTUMAYO,0
PUERTO CARREÑO,99001,VICHADA,PUERTO CARREÑO - VICHADA,0
PUERTO COLOMBIA,08573,ATLANTICO,PUERTO COLOMBIA - ATLANTICO,1
PUERTO COLOMBIA,94884,GUAINIA,PUERTO COLOMBIA - GUAINIA,2
PUERTO CONCORDIA,50450,META,PUERTO CONCORDIA - META,0
PUERTO ESCONDIDO,23574,CORDOBA,PUERTO ESCONDIDO - CORDOBA,0
PUERTO GAITAN,50568,META,PUERTO GAITAN - META,0
PUERTO GUZMAN,86571,PUTUMAYO,PUERTO GUZMAN - PUTUMAYO,0
PUERTO LIBERTADOR,23580,CORDOBA,PUERTO LIBERTADOR - CORDOBA,0
PUERTO LLERAS,50577,META,PUERTO LLERAS - META,0
PUERTO LOPEZ,50573,META,PUERTO LOPEZ - META,0
PUERTO NARE,05585,ANTIOQUIA,PUERTO NARE - ANTIOQUIA,0
PUERTO NARIÑO,91540,AMAZONAS,PUERTO NARIÑO - AMAZONAS,0
PUERTO PARRA,68573,SANTANDER,PUERTO PARRA - SANTANDER,0
PUERTO RICO,18592,CAQUETA,PUERTO RICO - CAQUETA,1
PUERTO RICO,50590,META,PUERTO RICO - META,2
PUERTO RONDON,81591,ARAUCA,PUERTO RONDON - ARAUCA,0
PUERTO SALGAR,25572,CUNDINAMARCA,PUERTO SALGAR - CUNDINAMARCA,0
PUERTO SANTANDER,91669,AMAZONAS,PUERTO SANTANDER - AMAZONAS,1
PUERTO SANTANDER,54553,NORTE DE SANTANDER,PUERTO SANTANDER - NORTE DE SANTANDER,2
PUERTO TEJADA,19573,CAUCA,PUERTO TEJADA - CAUCA,0
PUERTO TRIUNFO,05591,ANTIOQUIA,PUERTO TRIUNFO - ANTIOQUIA,0
PUERTO WILCHES,68575,SANTANDER,PUERTO WILCHES - SANTANDER,0
PULI,25580,CUNDINAMARCA,PULI - CUNDINAMARCA,0
PUPIALES,52585,NARIÑO,PUPIALES - NARIÑO,0
PURACE,19585,CAUCA,PURACE - CAUCA,0
PURIFICACION,73585,TOLIMA,PURIFICACION - TOLIMA,0
PURISIMA,23586,CORDOBA,PURISIMA - CORDOBA,0
QUEBRADANEGRA,25592,CUNDINAMARCA,QUEBRADANEGRA - CUNDINAMARCA,0
QUETAME,25594,CUNDINAMARCA,QUETAME - CUNDINAMARCA,0
QUIBDO,27001,CHOCO,QUIBDO - CHOCO,0
QUIMBAYA,63594,QUINDIO,QUIMBAYA - QUINDIO,0
QUINCHIA,66594,RISARALDA,QUINCHIA - RISARALDA,0
QUIPAMA,15580,BOYACA,QUIPAMA - BOYACA,0
QUIPILE,25596,CUNDINAMARCA,QUIPILE - CUNDINAMARCA,0
RAGONVALIA,54599,NORTE DE SANTANDER,RAGONVALIA - NORTE DE SANTANDER,0
RAMIRIQUI,15599,BOYACA,RAMIRIQUI - BOYACA,0
RAQUIRA,15600,BOYACA,RAQUIRA - BOYACA,0
RECETOR,85279,CASANARE,RECETOR - CASANARE,0
REGIDOR,13580,BOLIVAR,REGIDOR - BOLIVAR,0
REMEDIOS,05604,ANTIOQUIA,REMEDIOS - ANTIOQUIA,0
REMOLINO,47605,MAGDALENA,REMOLINO - MAGDALENA,0
REPELON,08606,ATLANTICO,REPELON - ATLANTICO,0
RESTREPO,50606,META,RESTREPO - META,1
RESTREPO,76606,VALLE DEL CAUCA,RESTREPO - VALLE DEL CAUCA,2
RETIRO,05607,ANTIOQUIA,RETIRO - ANTIOQUIA,0
RICAURTE,25612,CUNDINAMARCA,RICAURTE - CUNDINAMARCA,1
RICAURTE,52612,NARIÑO,RICAURTE - NARIÑO,2
RIO DE ORO,20614,CESAR,RIO DE ORO - CESAR,0
RIO IRO,27580,CHOCO,RIO IRO - CHOCO,0
RIO QUITO,27600,CHOCO,RIO QUITO - CHOCO,0
RIO VIEJO,13600,BOLIVAR,RIO VIEJO - BOLIVAR,0
RIOBLANCO,73616,TOLIMA,RIOBLANCO - TOLIMA,0
RIOFRIO,76616,VALLE DEL CAUCA,RIOFRIO - VALLE DEL CAUCA,0
RIOHACHA,44001,LA GUAJIRA,RIOHACHA - LA GUAJIRA,0
RIONEGRO,05615,ANTIOQUIA,RIONEGRO - ANTIOQUIA,1
RIONEGRO,68615,SANTANDER,RIONEGRO - SANTANDER,2
RIOSUCIO,17614,CALDAS,RIOSUCIO - CALDAS,1
RIOSUCIO,27615,CHOCO,RIOSUCIO - CHOCO,2
RISARALDA,17616,CALDAS,RISARALDA - CALDAS,0
RIVERA,41615,HUILA,RIVERA - HUILA,0
ROBERTO PAYAN,52621,NARIÑO,ROBERTO PAYAN - NARIÑO,0
ROLDANILLO,76622,VALLE DEL CAUCA,ROLDANILLO - VALLE DEL CAUCA,0
RONCESVALLES,73622,TOLIMA,RONCESVALLES - TOLIMA,0
RONDON,15621,BOYACA,RONDON - BOYACA,0
ROSAS,19622,CAUCA,ROSAS - CAUCA,0
ROVIRA,73624,TOLIMA,ROVIRA - TOLIMA,0
SABANA DE TORRES,68655,SANTANDER,SABANA DE TORRES - SANTANDER,0
SABANAGRANDE,08634,ATLANTICO,SABANAGRANDE - ATLANTICO,0
SABANALARGA,05628,ANTIOQUIA,SABANALARGA - ANTIOQUIA,1
SABANALARGA,08638,ATLANTICO,SABANALARGA - ATLANTICO,2
SABANALARGA,85300,CASANARE,SABANALARGA - CASANARE,3
SABANAS DE SAN ANGEL,47660,MAGDALENA,SABANAS DE SAN ANGEL - MAGDALENA,0
SABANETA,05631,ANTIOQUIA,SABANETA - ANTIOQUIA,0
SABOYA,15632,BOYACA,SABOYA - BOYACA,0
SACAMA,85315,CASANARE,SACAMA - CASANARE,0
SACHICA,15638,BOYACA,SACHICA - BOYACA,0
SAHAGUN,23660,CORDOBA,SAHAGUN - CORDOBA,0
SALADOBLANCO,41660,HUILA,SALADOBLANCO - HUILA,0
SALAMINA,17653,CALDAS,SALAMINA - CALDAS,1
SALAMINA,47675,MAGDALENA,SALAMINA - MAGDALENA,2
SALAZAR,54660,NORTE DE SANTANDER,SALAZAR - NORTE DE SANTANDER,0
SALDAÑA,73671,TOLIMA,SALDAÑA - TOLIMA,0
SALENTO,63690,QUINDIO,SALENTO - QUINDIO,0
SALGAR,05642,ANTIOQUIA,SALGAR - ANTIOQUIA,0
SAMACA,15646,BOYACA,SAMACA - BOYACA,0
SAMANA,17662,CALDAS,SAMANA - CALDAS,0
SAMANIEGO,52678,NARIÑO,SAMANIEGO - NARIÑO,0
SAMPUES,70670,SUCRE,SAMPUES - SUCRE,0
SAN AGUSTIN,41668,HUILA,SAN AGUSTIN - HUILA,0
SAN ALBERTO,20710,CESAR,SAN ALBERTO - CESAR,0
SAN ANDRES,88001,ARCHIPIELAGO DE SAN ANDRES,SAN ANDRES - ARCHIPIELAGO DE SAN ANDRES,1
SAN ANDRES,68669,SANTANDER,SAN ANDRES - SANTANDER,2
SAN ANDRES DE CUERQUIA,05647,ANTIOQUIA,SAN ANDRES DE CUERQUIA - ANTIOQUIA,0
SAN ANDRES DE TUMACO,52835,NARIÑO,SAN ANDRES DE TUMACO - NARIÑO,0
SAN ANDRES SOTAVENTO,23670,CORDOBA,SAN ANDRES SOTAVENTO - CORDOBA,0
SAN ANTERO,23672,CORDOBA,SAN ANTERO - CORDOBA,0
SAN ANTONIO,73675,TOLIMA,SAN ANTONIO - TOLIMA,0
SAN ANTONIO DEL TEQUENDAMA,25645,CUNDINAMARCA,SAN ANTONIO DEL TEQUENDAMA - CUNDINAMARCA,0
SAN BENITO,68673,SANTANDER,SAN BENITO - SANTANDER,0
SAN BENITO ABAD,70678,SUCRE,SAN BENITO ABAD - SUCRE,0
SAN BERNARDO,25649,CUNDINAMARCA,SAN BERNARDO - CUNDINAMARCA,1
SAN BERNARDO,52685,NARIÑO,SAN BERNARDO - NARIÑO,2
SAN BERNARDO DEL VIENTO,23675,CORDOBA,SAN BERNARDO DEL VIENTO - CORDOBA,0
SAN CALIXTO,54670,NORTE DE SANTANDER,SAN CALIXTO - NORTE DE SANTANDER,0
SAN CARLOS,05649,ANTIOQUIA,SAN CARLOS - ANTIOQUIA,1
SAN CARLOS,23678,CORDOBA,SAN CARLOS - CORDOBA,2
SAN CARLOS DE GUAROA,50680,META,SAN CARLOS DE GUAROA - META,0
SAN CAYETANO,25653,CUNDINAMARCA,SAN CAYETANO - CUNDINAMARCA,1
SAN CAYETANO,54673,NORTE DE SANTANDER,SAN CAYETANO - NORTE DE SANTANDER,2
SAN CRISTOBAL,13620,BOLIVAR,SAN CRISTOBAL - BOLIVAR,0
SAN DIEGO,20750,CESAR,SAN DIEGO - CESAR,0
SAN EDUARDO,15660,BOYACA,SAN EDUARDO - BOYACA,0
SAN ESTANISLAO,13647,BOLIVAR,SAN ESTANISLAO - BOLIVAR,0
SAN FELIPE,94883,GUAINIA,SAN FELIPE - GUAINIA,0
SAN FERNANDO,13650,BOLIVAR,SAN FERNANDO - BOLIVAR,0
SAN FRANCISCO,05652,ANTIOQUIA,SAN FRANCISCO - ANTIOQUIA,1
SAN FRANCISCO,25658,CUNDINAMARCA,SAN FRANCISCO - CUNDINAMARCA,2
SAN FRANCISCO,86755,PUTUMAYO,SAN FRANCISCO - PUTUMAYO,3
SAN GIL,68679,SANTANDER,SAN GIL - SANTANDER,0
SAN JACINTO,13654,BOLIVAR,SAN JACINTO - BOLIVAR,0
SAN JACINTO DEL CAUCA,13655,BOLIVAR,SAN JACINTO DEL CAUCA - BOLIVAR,0
SAN JERONIMO,05656,ANTIOQUIA,SAN JERONIMO - ANTIOQUIA,0
SAN JOAQUIN,68682,SANTANDER,SAN JOAQUIN - SANTANDER,0
SAN JOSE,17665,CALDAS,SAN JOSE - CALDAS,0
SAN JOSE DE LA MONTAÑA,05658,ANTIOQUIA,SAN JOSE DE LA MONTAÑA - ANTIOQUIA,0
SAN JOSE DE MIRANDA,68684,SANTANDER,SAN JOSE DE MIRANDA - SANTANDER,0
SAN JOSE DE PARE,15664,BOYACA,SAN JOSE DE PARE - BOYACA,0
SAN JOSE DEL FRAGUA,18610,CAQUETA,SAN JOSE DEL FRAGUA - CAQUETA,0
SAN JOSE DEL GUAVIARE,95001,GUAVIARE,SAN JOSE DEL GUAVIARE - GUAVIARE,0
SAN JOSE DEL PALMAR,27660,CHOCO,SAN JOSE DEL PALMAR - CHOCO,0
SAN JUAN DE ARAMA,50683,META,SAN JUAN DE ARAMA - META,0
SAN JUAN DE BETULIA,70702,SUCRE,SAN JUAN DE BETULIA - SUCRE,0
SAN JUAN DE RIO SECO,25662,CUNDINAMARCA,SAN JUAN DE RIO SECO - CUNDINAMARCA,0
SAN JUAN DE URABA,05659,ANTIOQUIA,SAN JUAN DE URABA - ANTIOQUIA,0
SAN JUAN DEL CESAR,44650,LA GUAJIRA,SAN JUAN DEL CESAR - LA GUAJIRA,0
SAN JUAN NEPOMUCENO,13657,BOLIVAR,SAN JUAN NEPOMUCENO - BOLIVAR,0
SAN JUANITO,50686,META,SAN JUANITO - META,0
SAN LORENZO,52687,NARIÑO,SAN LORENZO - NARIÑO,0
SAN LUIS,05660,ANTIOQUIA,SAN LUIS - ANTIOQUIA,1
SAN LUIS,73678,TOLIMA,SAN LUIS - TOLIMA,2
SAN LUIS DE GACENO,15667,BOYACA,SAN LUIS DE GACENO - BOYACA,0
SAN LUIS DE PALENQUE,85325,CASANARE,SAN LUIS DE PALENQUE - CASANARE,0
SAN LUIS DE SINCE,70742,SUCRE,SAN LUIS DE SINCE - SUCRE,0
SAN MARCOS,70708,SUCRE,SAN MARCOS - SUCRE,0
SAN MARTIN,20770,CESAR,SAN MARTIN - CESAR,1
SAN MARTIN,50689,META,SAN MARTIN - META,2
SAN MARTIN DE LOBA,13667,BOLIVAR,SAN MARTIN DE LOBA - BOLIVAR,0
SAN MATEO,15673,BOYACA,SAN MATEO - BOYACA,0
SAN MIGUEL,86757,PUTUMAYO,SAN MIGUEL - PUTUMAYO,1
SAN MIGUEL,68686,SANTANDER,SAN MIGUEL - SANTANDER,2
SAN MIGUEL DE SEMA,15676,BOYACA,SAN MIGUEL DE SEMA - BOYACA,0
SAN ONOFRE,70713,SUCRE,SAN ONOFRE - SUCRE,0
SAN PABLO,13670,BOLIVAR,SAN PABLO - BOLIVAR,1
SAN PABLO,52693,NARIÑO,SAN PABLO - NARIÑO,2
SAN PABLO DE BORBUR,15681,BOYACA,SAN PABLO DE BORBUR - BOYACA,0
SAN PEDRO,05664,ANTIOQUIA,SAN PEDRO - ANTIOQUIA,1
SAN PEDRO,70717,SUCRE,SAN PEDRO - SUCRE,2
SAN PEDRO,76670,VALLE DEL CAUCA,SAN PEDRO - VALLE DEL CAUCA,3
SAN PEDRO DE CARTAGO,52694,NARIÑO,SAN PEDRO DE CARTAGO - NARIÑO,0
SAN PEDRO DE URABA,05665,ANTIOQUIA,SAN PEDRO DE URABA - ANTIOQUIA,0
SAN PELAYO,23686,CORDOBA,SAN PELAYO - CORDOBA,0
SAN RAFAEL,05667,ANTIOQUIA,SAN RAFAEL - ANTIOQUIA,0
SAN ROQUE,05670,ANTIOQUIA,SAN ROQUE - ANTIOQUIA,0
SAN SEBASTIAN,19693,CAUCA,SAN SEBASTIAN - CAUCA,0
SAN SEBASTIAN DE BUENAVISTA,47692,MAGDALENA,SAN SEBASTIAN DE BUENAVISTA - MAGDALENA,0
SAN VICENTE,05674,ANTIOQUIA,SAN VICENTE - ANTIOQUIA,0
SAN VICENTE DE CHUCURI,68689,SANTANDER,SAN VICENTE DE CHUCURI - SANTANDER,0
SAN VICENTE DEL CAGUAN,18753,CAQUETA,SAN VICENTE DEL CAGUAN - CAQUETA,0
SAN ZENON,47703,MAGDALENA,SAN ZENON - MAGDALENA,0
SANDONA,52683,NARIÑO,SANDONA - NARIÑO,0
SANTA ANA,47707,MAGDALENA,SANTA ANA - MAGDALENA,0
SANTA BARBARA,05679,ANTIOQUIA,SANTA BARBARA - ANTIOQUIA,1
SANTA BARBARA,52696,NARIÑO,SANTA BARBARA - NARIÑO,2
SANTA BARBARA,68705,SANTANDER,SANTA BARBARA - SANTANDER,3
SANTA BARBARA DE PINTO,47720,MAGDALENA,SANTA BARBARA DE PINTO - MAGDALENA,0
SANTA CATALINA,13673,BOLIVAR,SANTA CATALINA - BOLIVAR,0
SANTA HELENA DEL OPON,68720,SANTANDER,SANTA HELENA DEL OPON - SANTANDER,0
SANTA ISABEL,73686,TOLIMA,SANTA ISABEL - TOLIMA,0
SANTA LUCIA,08675,ATLANTICO,SANTA LUCIA - ATLANTICO,0
SANTA MARIA,15690,BOYACA,SANTA MARIA - BOYACA,1
SANTA MARIA,41676,HUILA,SANTA MARIA - HUILA,2
SANTA MARTA,47001,MAGDALENA,SANTA MARTA - MAGDALENA,0
SANTA ROSA,13683,BOLIVAR,SANTA ROSA - BOLIVAR,1
SANTA ROSA,19701,CAUCA,SANTA ROSA - CAUCA,2
SANTA ROSA DE CABAL,66682,RISARALDA,SANTA ROSA DE CABAL - RISARALDA,0
SANTA ROSA DE OSOS,05686,ANTIOQUIA,SANTA ROSA DE OSOS - ANTIOQUIA,0
SANTA ROSA DE VITERBO,15693,BOYACA,SANTA ROSA DE VITERBO - BOYACA,0
