Ciudad,CÃ³digo DANE ciudad,Departamento,Ciudad - Departamento,Repeticiones Ciudad
CRAVO NORTE,81220,ARAUCA,CRAVO NORTE - ARAUCA,0
CUASPUD,52224,NARIÑO,CUASPUD - NARIÑO,0
CUBARA,15223,BOYACA,CUBARA - BOYACA,0
CUBARRAL,50223,META,CUBARRAL - META,0
CUCAITA,15224,BOYACA,CUCAITA - BOYACA,0
CUCUNUBA,25224,CUNDINAMARCA,CUCUNUBA - CUNDINAMARCA,0
CUCUTA,54001,NORTE DE SANTANDER,CUCUTA - NORTE DE SANTANDER,0
CUCUTILLA,54223,NORTE DE SANTANDER,CUCUTILLA - NORTE DE SANTANDER,0
CUITIVA,15226,BOYACA,CUITIVA - BOYACA,0
CUMARAL,50226,META,CUMARAL - META,0
CUMARIBO,99773,VICHADA,CUMARIBO - VICHADA,0
CUMBAL,52227,NARIÑO,CUMBAL - NARIÑO,0
CUMBITARA,52233,NARIÑO,CUMBITARA - NARIÑO,0
CUNDAY,73226,TOLIMA,CUNDAY - TOLIMA,0
CURILLO,18205,CAQUETA,CURILLO - CAQUETA,0
CURITI,68229,SANTANDER,CURITI - SANTANDER,0
CURUMANI,20228,CESAR,CURUMANI - CESAR,0
DABEIBA,05234,ANTIOQUIA,DABEIBA - ANTIOQUIA,0
DAGUA,76233,VALLE DEL CAUCA,DAGUA - VALLE DEL CAUCA,0
DIBULLA,44090,LA GUAJIRA,DIBULLA - LA GUAJIRA,0
DISTRACCION,44098,LA GUAJIRA,DISTRACCION - LA GUAJIRA,0
DOLORES,73236,TOLIMA,DOLORES - TOLIMA,0
DON MATIAS,05237,ANTIOQUIA,DON MATIAS - ANTIOQUIA,0
DOSQUEBRADAS,66170,RISARALDA,DOSQUEBRADAS - RISARALDA,0
DUITAMA,15238,BOYACA,DUITAMA - BOYACA,0
DURANIA,54239,NORTE DE SANTANDER,DURANIA - NORTE DE SANTANDER,0
EBEJICO,05240,ANTIOQUIA,EBEJICO - ANTIOQUIA,0
EL AGUILA,76243,VALLE DEL CAUCA,EL AGUILA - VALLE DEL CAUCA,0
EL BAGRE,05250,ANTIOQUIA,EL BAGRE - ANTIOQUIA,0
EL BANCO,47245,MAGDALENA,EL BANCO - MAGDALENA,0
EL CAIRO,76246,VALLE DEL CAUCA,EL CAIRO - VALLE DEL CAUCA,0
EL CALVARIO,50245,META,EL CALVARIO - META,0
EL CANTON DEL SAN PABLO,27135,CHOCO,EL CANTON DEL SAN PABLO - CHOCO,0
EL CARMEN,54245,NORTE DE SANTANDER,EL CARMEN - NORTE DE SANTANDER,0
EL CARMEN DE ATRATO,27245,CHOCO,EL CARMEN DE ATRATO - CHOCO,0
EL CARMEN DE BOLIVAR,13244,BOLIVAR,EL CARMEN DE BOLIVAR - BOLIVAR,0
EL CARMEN DE CHUCURI,68235,SANTANDER,EL CARMEN DE CHUCURI - SANTANDER,0
